Model,Model_Version,Rank,Feature,SHAP_Importance
KNN,unknown,110,Fz_entropy,0.000754296729
KNN,unknown,111,Fy_iqr,0.000751993283
KNN,unknown,112,Fz_variance,0.000738220922
KNN,unknown,113,Fz_median,0.000714575013
KNN,unknown,114,Tx_cv,0.000712956381
KNN,unknown,115,Fx_last,0.000695850831
KNN,unknown,116,Fy_max,0.000679266179
KNN,unknown,117,Tz_iqr,0.000677302282
KNN,unknown,118,Ty_last,0.000668069373
KNN,unknown,119,Fy_last,0.000652046551
KNN,unknown,120,Tz_power,0.000578454853
KNN,unknown,121,Fx_variance,0.000570029957
KNN,unknown,122,Fy_rms,0.000480784845
KNN,unknown,123,Tz_slope,0.000474774896
KNN,unknown,124,Fy_variance,0.000423932007
KNN,unknown,125,Fx_mean,0.000417170601
KNN,unknown,126,Fy_energy,0.000365610768
KNN,unknown,127,Fx_power,0.000297692836
KNN,unknown,128,Ty_cv,0.000281839822
KNN,unknown,129,Fx_mean_abs,0.000274862565
KNN,unknown,130,Fz_iqr,0.000260144778
KNN,unknown,131,Tz_variance,0.000195868835
KNN,unknown,132,Ty_slope,0.000183141853
KNN,unknown,133,Fy_slope,0.000150642761
KNN,unknown,134,Tx_entropy,0.000148959269
KNN,unknown,135,Tz_energy,0.000137641873
KNN,unknown,136,Fz_cv,0.000125579750
KNN,unknown,137,Tx_variance,0.000121144194
KNN,unknown,138,Fx_median,0.000120496324
KNN,unknown,139,Fy_cv,0.000111427240
KNN,unknown,140,Fx_energy,0.000000000000
KNN,unknown,141,Fx_first,0.000000000000
KNN,unknown,142,Ty_power,0.000000000000
KNN,unknown,143,Ty_first,0.000000000000
KNN,unknown,144,Tz_first,0.000000000000
SVM,unknown,1,Ty_peak_frequency,0.021894069485
SVM,unknown,2,Tx_crest_factor,0.017829729957
SVM,unknown,3,Ty_crest_factor,0.016646815463
SVM,unknown,4,Fz_peak_frequency,0.015987928375
SVM,unknown,5,Fy_entropy,0.015758672871
SVM,unknown,6,Tx_peak_frequency,0.013118974396
SVM,unknown,7,Fz_shape_factor,0.012232835871
SVM,unknown,8,Fx_peak_frequency,0.012013518865
SVM,unknown,9,Fz_min,0.010738172182
SVM,unknown,10,Tz_entropy,0.010284619595
SVM,unknown,11,Tx_shape_factor,0.009370323548
SVM,unknown,12,Fy_zero_crossing_rate,0.009298818611
SVM,unknown,13,Fz_peak_to_peak,0.009261399304
SVM,unknown,14,Ty_zero_crossing_rate,0.008426461366
SVM,unknown,15,Fz_std,0.008070729736
SVM,unknown,16,Fy_peak_frequency,0.007687055418
SVM,unknown,17,Tx_rms,0.007377225198
SVM,unknown,18,Ty_shape_factor,0.007155615531
SVM,unknown,19,Fx_zero_crossing_rate,0.006667545957
SVM,unknown,20,Fz_rms,0.006258514044
SVM,unknown,21,Tx_zero_crossing_rate,0.006056435345
SVM,unknown,22,Tx_mean_abs,0.005450304241
SVM,unknown,23,Fz_last,0.005142598694
SVM,unknown,24,Fz_zero_crossing_rate,0.004942276607
SVM,unknown,25,Tz_peak_frequency,0.004363619116
SVM,unknown,26,Fz_mean_abs,0.004086765926
SVM,unknown,27,Ty_skewness,0.003970165047
SVM,unknown,28,Fz_skewness,0.003696545165
SVM,unknown,29,Fz_kurtosis,0.003005145119
SVM,unknown,30,Fx_entropy,0.002745784484
SVM,unknown,31,Tz_zero_crossing_rate,0.002702978984
SVM,unknown,32,Fz_crest_factor,0.002621221560
SVM,unknown,33,Fx_crest_factor,0.002524627666
SVM,unknown,34,Tz_kurtosis,0.002448684425
SVM,unknown,35,Tx_entropy,0.002325190836
SVM,unknown,36,Tx_min,0.002204061143
SVM,unknown,37,Tz_shape_factor,0.001934617928
SVM,unknown,38,Tx_std,0.001899590150
SVM,unknown,39,Fy_p90,0.001820821393
SVM,unknown,40,Ty_entropy,0.001802409615
SVM,unknown,41,Fy_max,0.001519915813
SVM,unknown,42,Tx_energy,0.001516977333
SVM,unknown,43,Fz_energy,0.001461107168
SVM,unknown,44,Tx_last,0.001454093062
SVM,unknown,45,Fz_entropy,0.001340840539
SVM,unknown,46,Tx_kurtosis,0.001282289817
SVM,unknown,47,Fy_median,0.001135287663
SVM,unknown,48,Ty_peak_to_peak,0.001107982428
SVM,unknown,49,Tx_power,0.001107547899
SVM,unknown,50,Ty_variance,0.001006333076
SVM,unknown,51,Ty_rms,0.001005448402
SVM,unknown,52,Fz_power,0.000992983578
SVM,unknown,53,Fx_skewness,0.000975009146
SVM,unknown,54,Fx_shape_factor,0.000961162253
SVM,unknown,55,Fz_mean,0.000957230902
SVM,unknown,56,Ty_power,0.000938934605
SVM,unknown,57,Tx_iqr,0.000931945840
SVM,unknown,58,Fz_first,0.000924314541
SVM,unknown,59,Fx_last,0.000922633987
SVM,unknown,60,Ty_energy,0.000897009101
SVM,unknown,61,Ty_mean_abs,0.000880821342
SVM,unknown,62,Fz_iqr,0.000866459655
SVM,unknown,63,Fz_median,0.000841694759
SVM,unknown,64,Fx_median,0.000825313172
SVM,unknown,65,Tx_cv,0.000815718134
SVM,unknown,66,Tx_mean,0.000749787109
SVM,unknown,67,Ty_cv,0.000743070845
SVM,unknown,68,Ty_max,0.000725937201
SVM,unknown,69,Fx_max,0.000699497505
SVM,unknown,70,Fx_kurtosis,0.000694702019
SVM,unknown,71,Fz_p90,0.000690678916
SVM,unknown,72,Fy_last,0.000679620930
SVM,unknown,73,Ty_iqr,0.000672296797
SVM,unknown,74,Ty_p90,0.000661459016
SVM,unknown,75,Tz_p90,0.000630908530
SVM,unknown,76,Tz_rms,0.000619123189
SVM,unknown,77,Tz_cv,0.000611060011
SVM,unknown,78,Tx_peak_to_peak,0.000554810747
SVM,unknown,79,Ty_mean,0.000548123090
SVM,unknown,80,Tz_mean_abs,0.000527214369
SVM,unknown,81,Tz_iqr,0.000471101177
SVM,unknown,82,Ty_std,0.000443288307
SVM,unknown,83,Tz_last,0.000430997794
SVM,unknown,84,Tz_skewness,0.000420747533
SVM,unknown,85,Tz_peak_to_peak,0.000379418235
SVM,unknown,86,Fy_kurtosis,0.000275067766
SVM,unknown,87,Fz_max,0.000257277814
SVM,unknown,88,Fx_rms,0.000250692406
SVM,unknown,89,Fz_variance,0.000232683110
SVM,unknown,90,Fx_cv,0.000224942354
SVM,unknown,91,Fx_mean_abs,0.000183475511
SVM,unknown,92,Fy_peak_to_peak,0.000179103593
SVM,unknown,93,Fy_mean_abs,0.000159864542
SVM,unknown,94,Fx_iqr,0.000156685280
SVM,unknown,95,Fx_peak_to_peak,0.000146880936
SVM,unknown,96,Fy_mean,0.000140996216
SVM,unknown,97,Fx_p90,0.000139366855
SVM,unknown,98,Ty_kurtosis,0.000115727048
SVM,unknown,99,Fy_cv,0.000107502068
SVM,unknown,100,Tz_crest_factor,0.000105870650
SVM,unknown,101,Ty_min,0.000090984610
SVM,unknown,102,Fy_min,0.000074531660
SVM,unknown,103,Ty_slope,0.000058895488
SVM,unknown,104,Fx_mean,0.000027219633
SVM,unknown,105,Tx_variance,0.000021447858
SVM,unknown,106,Fx_std,0.000000000000
SVM,unknown,107,Fx_min,0.000000000000
SVM,unknown,108,Fx_energy,0.000000000000
SVM,unknown,109,Fx_power,0.000000000000
SVM,unknown,110,Fx_first,0.000000000000
SVM,unknown,111,Fx_variance,0.000000000000
SVM,unknown,112,Fx_slope,0.000000000000
SVM,unknown,113,Fy_std,0.000000000000
SVM,unknown,114,Fy_iqr,0.000000000000
SVM,unknown,115,Fy_skewness,0.000000000000
SVM,unknown,116,Fy_rms,0.000000000000
SVM,unknown,117,Fy_energy,0.000000000000
SVM,unknown,118,Fy_power,0.000000000000
SVM,unknown,119,Fy_first,0.000000000000
SVM,unknown,120,Fy_variance,0.000000000000
SVM,unknown,121,Fy_slope,0.000000000000
SVM,unknown,122,Fy_crest_factor,0.000000000000
SVM,unknown,123,Fy_shape_factor,0.000000000000
SVM,unknown,124,Fz_cv,0.000000000000
SVM,unknown,125,Fz_slope,0.000000000000
SVM,unknown,126,Tx_max,0.000000000000
SVM,unknown,127,Tx_median,0.000000000000
SVM,unknown,128,Tx_skewness,0.000000000000
SVM,unknown,129,Tx_first,0.000000000000
SVM,unknown,130,Tx_p90,0.000000000000
SVM,unknown,131,Tx_slope,0.000000000000
SVM,unknown,132,Ty_median,0.000000000000
SVM,unknown,133,Ty_first,0.000000000000
SVM,unknown,134,Ty_last,0.000000000000
SVM,unknown,135,Tz_mean,0.000000000000
SVM,unknown,136,Tz_std,0.000000000000
SVM,unknown,137,Tz_max,0.000000000000
SVM,unknown,138,Tz_min,0.000000000000
SVM,unknown,139,Tz_median,0.000000000000
SVM,unknown,140,Tz_energy,0.000000000000
SVM,unknown,141,Tz_power,0.000000000000
SVM,unknown,142,Tz_first,0.000000000000
SVM,unknown,143,Tz_variance,0.000000000000
SVM,unknown,144,Tz_slope,0.000000000000
MLP,unknown,1,Ty_peak_frequency,0.035284992844
MLP,unknown,2,Fy_entropy,0.019878332426
MLP,unknown,3,Tx_peak_frequency,0.017003278222
MLP,unknown,4,Tx_crest_factor,0.015060181763
MLP,unknown,5,Fz_peak_frequency,0.014794013035
MLP,unknown,6,Fz_min,0.014684758280
MLP,unknown,7,Fz_zero_crossing_rate,0.014119957518
MLP,unknown,8,Fz_rms,0.013344278663
MLP,unknown,9,Ty_zero_crossing_rate,0.013064974130
MLP,unknown,10,Fz_shape_factor,0.010694228831
MLP,unknown,11,Fz_std,0.009864616707
MLP,unknown,12,Ty_crest_factor,0.009746318698
MLP,unknown,13,Tx_shape_factor,0.009634644810
MLP,unknown,14,Fx_peak_frequency,0.009565719081
MLP,unknown,15,Tz_zero_crossing_rate,0.009148813360
MLP,unknown,16,Fy_zero_crossing_rate,0.009090233912
MLP,unknown,17,Ty_shape_factor,0.009066936529
MLP,unknown,18,Fz_last,0.007508627581
MLP,unknown,19,Tx_rms,0.007370010969
MLP,unknown,20,Tz_entropy,0.006702746311
MLP,unknown,21,Tz_kurtosis,0.006538096394
MLP,unknown,22,Fy_peak_frequency,0.006463564218
MLP,unknown,23,Fz_peak_to_peak,0.005998143538
MLP,unknown,24,Tx_zero_crossing_rate,0.005525441916
MLP,unknown,25,Tx_min,0.005438743458
MLP,unknown,26,Fz_p90,0.005298537155
MLP,unknown,27,Tx_energy,0.004878085544
MLP,unknown,28,Fx_zero_crossing_rate,0.004866929985
MLP,unknown,29,Tx_std,0.004771470653
MLP,unknown,30,Fz_skewness,0.004616164294
MLP,unknown,31,Tx_kurtosis,0.003946693404
MLP,unknown,32,Fz_crest_factor,0.003316615245
MLP,unknown,33,Tx_mean,0.003052543416
MLP,unknown,34,Fz_entropy,0.002926759375
MLP,unknown,35,Ty_p90,0.002693474489
MLP,unknown,36,Tx_power,0.002637781917
MLP,unknown,37,Ty_entropy,0.002557701979
