Model,Method,Method_Description,Rank,Feature,Importance_Score,Normalized_Score
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,52,Tz_peak_to_peak,12.000000000000,0.187500000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,53,Fx_mean_abs,11.000000000000,0.171875000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,54,Ty_peak_frequency,11.000000000000,0.171875000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,55,Fz_entropy,10.000000000000,0.156250000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,56,Tx_mean_abs,10.000000000000,0.156250000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,57,Tx_first,10.000000000000,0.156250000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,58,Tx_peak_frequency,10.000000000000,0.156250000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,59,Ty_median,10.000000000000,0.156250000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,60,Tz_skewness,10.000000000000,0.156250000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,61,Fx_energy,9.000000000000,0.140625000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,62,Fx_first,9.000000000000,0.140625000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,63,Fy_entropy,9.000000000000,0.140625000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,64,Fz_shape_factor,9.000000000000,0.140625000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,65,Ty_kurtosis,9.000000000000,0.140625000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,66,Ty_rms,9.000000000000,0.140625000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,67,Ty_slope,9.000000000000,0.140625000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,68,Tz_std,9.000000000000,0.140625000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,69,Tz_energy,9.000000000000,0.140625000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,70,Fx_mean,8.000000000000,0.125000000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,71,Fy_peak_to_peak,8.000000000000,0.125000000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,72,Fz_skewness,8.000000000000,0.125000000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,73,Tx_max,8.000000000000,0.125000000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,74,Ty_peak_to_peak,8.000000000000,0.125000000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,75,Ty_entropy,8.000000000000,0.125000000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,76,Fx_iqr,7.000000000000,0.109375000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,77,Fy_energy,7.000000000000,0.109375000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,78,Fz_cv,7.000000000000,0.109375000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,79,Fz_crest_factor,7.000000000000,0.109375000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,80,Tx_power,7.000000000000,0.109375000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,81,Tx_last,7.000000000000,0.109375000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,82,Ty_max,7.000000000000,0.109375000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,83,Tz_iqr,7.000000000000,0.109375000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,84,Tz_entropy,7.000000000000,0.109375000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,85,Tz_slope,7.000000000000,0.109375000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,86,Fx_variance,6.000000000000,0.093750000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,87,Fy_p90,6.000000000000,0.093750000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,88,Fy_slope,6.000000000000,0.093750000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,89,Tx_entropy,6.000000000000,0.093750000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,90,Tx_p90,6.000000000000,0.093750000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,91,Tx_slope,6.000000000000,0.093750000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,92,Tx_crest_factor,6.000000000000,0.093750000000
