Rank_Final,Feature,ReliefF_Score,ANOVA_Score,Combined_Score,Contribution_Percent,Removed
1,Fz_min,0.5665034579122308,164.44848871908292,1.0,6.372898066691324,False
2,Tx_rms,0.43043074030837697,86.63788681091913,0.6443148602323696,4.1061529271153585,False
3,Fz_shape_factor,0.5363879435324956,37.89275118947627,0.5888351843619664,3.7525866080202044,False
4,Tx_std,0.4110436699960463,52.82867405677132,0.5245461910619227,3.342879406908825,False
5,Ty_rms,0.2826273956409186,73.92593966980988,0.47630280047310886,3.035429196294739,False
6,Fx_peak_frequency,0.3518112642486052,47.566422237608464,0.45670453183793064,2.910531427999114,False
7,Fz_peak_frequency,0.37222512334389707,36.292885488164906,0.440292598264446,2.8059398482579874,False
8,Fy_zero_crossing_rate,0.3678060835594879,31.3054827025657,0.42126021206783343,2.6846483910610726,False
9,Tx_peak_frequency,0.32874218960106827,34.81712249189248,0.3977483901220817,2.534809946438601,False
10,Ty_crest_factor,0.33276092761776044,26.50512256316327,0.37599206786305894,2.396159122375761,False
11,Ty_peak_frequency,0.26991332777535365,41.17420380977774,0.36558983289598057,2.3298667392647987,False
12,Tx_crest_factor,0.25981120757600984,38.11388957214262,0.34744305439997336,2.2142191696709186,False
13,Fy_max,0.2791103328251395,26.291239857049174,0.328385846469269,2.092769526092798,False
14,Fz_last,0.1882799777637998,46.42818544032233,0.3101183100408194,1.9763523785047186,False
15,Fz_first,0.2474460860811909,27.35926128859514,0.3039202163639548,1.936852559294256,False
16,Tz_mean_abs,0.16000064100004271,49.01856740534472,0.29324412067398775,1.8688148897118537,False
17,Tx_min,0.238802283206584,23.06650740655578,0.28330240732628514,1.8054573639386804,False
18,Fx_rms,0.15313168057545862,46.834869624465114,0.280592509779049,1.7881874630989676,False
19,Tz_peak_frequency,0.25214134281159134,15.045201470652932,0.27058727282382067,1.7244251078502044,False
20,Fy_peak_frequency,0.2143729601971389,22.83036776100464,0.26120345076734997,1.6646229664083467,False
21,Tz_entropy,0.2453798698610627,13.779338286149965,0.26082051799277495,1.662182574869585,False
22,Ty_p90,0.24938916073225711,11.963433854051749,0.2588080500866719,1.6493573220415023,False
23,Tx_iqr,0.17196960650251114,33.38822256173422,0.2561937025799184,1.6326963518700541,False
24,Tx_zero_crossing_rate,0.22831556524609456,15.98351828530859,0.2525876186352134,1.6097151464705166,False
25,Fz_skewness,0.2150018546892438,10.448345184011892,0.22410491129073956,1.4281977559007846,False
26,Fx_zero_crossing_rate,0.17276037776510478,17.683956875954934,0.20913517950617505,1.332797181152046,False
27,Ty_max,0.18646116943526359,11.64727798508691,0.2027711248005774,1.2922397092224247,False
28,Fx_shape_factor,0.18740734548202423,10.964824599271914,0.20152415598937065,1.284292904096261,False
29,Tx_mean,0.20335013071602068,2.916544750150286,0.1910058278802595,1.2172606712248815,False
30,Fx_crest_factor,0.18051050893804635,9.202188273735922,0.1901284330526909,1.2116691234245445,False
31,Tz_zero_crossing_rate,0.1719067816682842,10.81622785314475,0.1875059811393056,1.1949565046957407,False
32,Fz_slope,0.20319854182074235,1.782018090315224,0.18742349647770543,1.194430838355297,False
33,Tx_slope,0.19129997562512616,3.0393325652533894,0.1808326835750922,1.1524282595503088,False
34,Tz_shape_factor,0.1981332110939455,0.22486855512831014,0.17825554380654476,1.1360044105017395,False
35,Ty_iqr,0.11082795124659217,24.208118039419055,0.17476835662403944,1.1137809220481607,False
36,Fz_kurtosis,0.17879769229645412,2.6049310583677325,0.16856963119628252,1.0742770767536582,False
37,Ty_zero_crossing_rate,0.17238878739053973,4.371789166645292,0.1683327863061555,1.072767688411262,False
38,Fz_entropy,0.11589636411079232,20.181070605524948,0.16695961613630067,1.064016614890556,False
39,Fy_mean,0.18436822424772192,0.00804827830685836,0.1655489331170345,1.0550264758043604,False
40,Tx_max,0.1638213936233956,5.158934746687845,0.16322786812741674,1.0402345652193605,False
41,Tz_kurtosis,0.13962658084941115,11.757764823170803,0.16211666735880945,1.033152995989397,False
42,Tz_p90,0.1029890677111544,17.585718823615977,0.14777147272651975,0.9417325328509674,False
43,Ty_min,0.08227072480600803,21.027926096135253,0.14010486248873508,0.8928740072885135,False
44,Fx_max,0.12110208165069022,9.068039865865703,0.13772530284710313,0.8777093162487806,False
45,Fy_shape_factor,0.13980910139790664,2.9882768910850728,0.1356117795312423,0.8642400475952239,False
46,Tz_median,0.14709055137910226,0.4361715069901001,0.1342246559678107,0.8554000505195688,False
47,Tz_last,0.14255544208956686,0.5317029370270202,0.13054592768579062,0.8319558901632005,False
48,Tz_crest_factor,0.12215254217914744,6.290103393290999,0.1301980491201356,0.8297388955246942,False
49,Ty_kurtosis,0.12676791753308247,4.752688786557246,0.12956281658400848,0.8256906233233101,False
50,Fx_kurtosis,0.13068900071956888,0.4943484443348432,0.12004664162767267,0.7650450103417813,False
51,Fz_zero_crossing_rate,0.08758898222008556,10.07001189732889,0.11144069557085658,0.7102001933542482,False
52,Ty_last,0.11825578487405163,1.1036073622276683,0.11101740735008082,0.7075026206704133,False
53,Fz_cv,0.10271579510698206,2.1947714077420035,0.10073436098775672,0.6419698143882607,False
54,Ty_skewness,0.10684569546568236,0.35807786736943553,0.09876424083117044,0.6294144394512023,False
