Model,CV_Score,Test_Accuracy,Test_F1_Macro,Test_F1_Weighted,Test_Precision_Weighted,Test_Recall_Weighted,Test_Precision_Macro,Test_Recall_Macro,Optimization_Mode
KNN,1.000000000000,0.960784313725,0.954761904762,0.959523809524,0.963488843813,0.960784313725,0.977011494253,0.939393939394,No Hyperparameter Space
SVM,1.000000000000,0.980392156863,0.978066378066,0.980103556574,0.981092436975,0.980392156863,0.988095238095,0.969696969697,No Hyperparameter Space
MLP,1.000000000000,0.980392156863,0.978066378066,0.980103556574,0.981092436975,0.980392156863,0.988095238095,0.969696969697,No Hyperparameter Space
LightGBM,1.000000000000,0.960784313725,0.959435626102,0.960680568524,0.962184873950,0.960784313725,0.963844797178,0.957351290685,No Hyperparameter Space
