Model,Rank,Feature,Overall_SHAP_Importance,SHAP_Score_Class_collision,SHAP_Score_Class_normal,SHAP_Score_Class_obstruction
SVM,10,Tx_rms,0.012201119092,0.007428565986,0.005411970077,0.023762821214
SVM,11,Tz_entropy,0.011806125506,0.016209269637,0.018831454221,0.000377652659
SVM,12,Tz_peak_frequency,0.009735231280,0.010323094785,0.013085004752,0.005797594305
SVM,13,Tx_min,0.008501545716,0.004332764722,0.007534301215,0.013637571212
SVM,14,Fz_zero_crossing_rate,0.008457657713,0.013563610490,0.011809362649,0.000000000000
SVM,15,Tx_zero_crossing_rate,0.007353783622,0.010332504543,0.000844886136,0.010883960185
SVM,16,Fy_zero_crossing_rate,0.006317794958,0.004635361681,0.002590312545,0.011727710646
SVM,17,Ty_p90,0.006082992326,0.003498037172,0.004129709603,0.010621230204
SVM,18,Ty_rms,0.005954254946,0.004332324139,0.000787669537,0.012742771161
SVM,19,Ty_zero_crossing_rate,0.005772866552,0.009641563669,0.004797028523,0.002880007463
SVM,20,Fz_first,0.005497698078,0.005204481985,0.000000000000,0.011288612250
SVM,21,Tx_std,0.005126072398,0.000696422227,0.006524553183,0.008157241783
SVM,22,Fz_kurtosis,0.005061656686,0.007087927682,0.006896852010,0.001200190366
SVM,23,Fx_peak_frequency,0.004555156720,0.005294425818,0.007922306645,0.000448737698
SVM,24,Tz_zero_crossing_rate,0.004488865950,0.009574027387,0.003254841696,0.000637728767
SVM,25,Ty_iqr,0.004209955278,0.004257020623,0.005648847320,0.002723997891
SVM,26,Fz_skewness,0.003363932682,0.003079492437,0.002817413987,0.004194891620
SVM,27,Ty_skewness,0.003174176962,0.005332646090,0.002372283994,0.001817600802
SVM,28,Tz_kurtosis,0.003118091216,0.004330804502,0.004830932346,0.000192536800
SVM,29,Fy_max,0.003098158643,0.001315673441,0.002243520082,0.005735282407
SVM,30,Fy_peak_frequency,0.002947104989,0.003717720952,0.004571532701,0.000552061313
SVM,31,Ty_min,0.002935756184,0.002418393869,0.001488528784,0.004900345898
SVM,32,Fx_crest_factor,0.002846952437,0.001057279117,0.003368579539,0.004114998656
SVM,33,Tx_mean,0.002826124490,0.002601009931,0.000902393918,0.004974969621
SVM,34,Fx_max,0.002553013911,0.001321778737,0.003047085843,0.003290177152
SVM,35,Tz_crest_factor,0.002347157173,0.002610600605,0.004162519551,0.000268351364
SVM,36,Tx_iqr,0.002144234622,0.001668812867,0.001379081054,0.003384809945
SVM,37,Fz_slope,0.002082338168,0.002480104161,0.000000000000,0.003766910342
SVM,38,Fx_kurtosis,0.001976314761,0.003325661806,0.000000000000,0.002603282477
SVM,39,Fx_shape_factor,0.001941066817,0.002425371341,0.000411959862,0.002985869247
SVM,40,Ty_max,0.001921388581,0.003269097588,0.002495068154,0.000000000000
SVM,41,Fz_entropy,0.001615169327,0.003315684351,0.000000000000,0.001529823628
SVM,42,Tz_shape_factor,0.001516523050,0.002055763752,0.001888215649,0.000605589750
SVM,43,Ty_last,0.001367627093,0.001405864258,0.000186024560,0.002510992461
SVM,44,Fy_mean,0.001192944389,0.002175081803,0.000000000000,0.001403751365
SVM,45,Tz_mean_abs,0.001065335376,0.000443750886,0.000000000000,0.002752255242
SVM,46,Fx_rms,0.000983505409,0.000505109204,0.000700015531,0.001745391490
SVM,47,Tz_last,0.000663886168,0.000294609611,0.001077998567,0.000619050327
SVM,48,Tx_max,0.000487225380,0.000838909140,0.000000000000,0.000622767001
SVM,49,Fy_shape_factor,0.000200271448,0.000000000000,0.000120696439,0.000480117904
SVM,50,Tz_median,0.000182772838,0.000000000000,0.000548318513,0.000000000000
SVM,51,Tz_p90,0.000134269351,0.000000000000,0.000402808052,0.000000000000
SVM,52,Ty_kurtosis,0.000074559924,0.000000000000,0.000223679773,0.000000000000
SVM,53,Tx_slope,0.000000000000,0.000000000000,0.000000000000,0.000000000000
SVM,54,Fz_cv,0.000000000000,0.000000000000,0.000000000000,0.000000000000
MLP,1,Tx_crest_factor,0.052097395914,0.078989525362,0.066021080355,0.011281582026
MLP,2,Fz_min,0.038770492740,0.050516763816,0.001604319931,0.064190394473
MLP,3,Ty_peak_frequency,0.032292987176,0.048267705635,0.048210678765,0.000400577129
MLP,4,Fz_peak_frequency,0.026060179448,0.025821705115,0.040403086962,0.011955746268
MLP,5,Ty_crest_factor,0.024989574798,0.036733207879,0.035934013873,0.002301502642
MLP,6,Fx_peak_frequency,0.021217236707,0.029380582569,0.034271127552,0.000000000000
MLP,7,Tx_rms,0.016479451519,0.013241475923,0.007391184246,0.028805694387
MLP,8,Ty_rms,0.016092553505,0.017329391792,0.000566708573,0.030381560150
MLP,9,Fx_zero_crossing_rate,0.015273469865,0.022227755837,0.022898476602,0.000694177156
MLP,10,Fz_zero_crossing_rate,0.014682093300,0.022988601895,0.012691177003,0.008366501003
MLP,11,Fz_entropy,0.012098434799,0.013178660125,0.000285093291,0.022831550980
MLP,12,Fy_zero_crossing_rate,0.011960311799,0.012955654291,0.001962041864,0.020963239243
MLP,13,Tx_peak_frequency,0.011696580894,0.013348137149,0.021528255602,0.000213349930
MLP,14,Fz_shape_factor,0.011548125582,0.011580760621,0.000521873306,0.022541742821
MLP,15,Tz_zero_crossing_rate,0.011388310368,0.019234651628,0.014930279477,0.000000000000
MLP,16,Tz_entropy,0.010817439112,0.013056799860,0.018837321304,0.000558196173
